CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Gender_Encoded,Cluster,Persona
1,Male,19,15,39,0,4,Young Budget Explorers
2,Male,21,15,81,0,4,Young Budget Explorers
3,Female,20,16,6,1,5,Seasoned Conservative Minimizers
4,Female,23,16,77,1,4,Young Budget Explorers
5,Female,31,17,40,1,5,Seasoned Conservative Minimizers
6,Female,22,17,76,1,4,Young Budget Explorers
7,Female,35,18,6,1,5,Seasoned Conservative Minimizers
8,Female,23,18,94,1,4,Young Budget Explorers
9,Male,64,19,3,0,5,Seasoned Conservative Minimizers
10,Female,30,19,72,1,4,Young Budget Explorers
11,Male,67,19,14,0,5,Seasoned Conservative Minimizers
12,Female,35,19,99,1,4,Young Budget Explorers
13,Female,58,20,15,1,5,Seasoned Conservative Minimizers
14,Female,24,20,77,1,4,Young Budget Explorers
15,Male,37,20,13,0,5,Seasoned Conservative Minimizers
16,Male,22,20,79,0,4,Young Budget Explorers
17,Female,35,21,35,1,5,Seasoned Conservative Minimizers
18,Male,20,21,66,0,4,Young Budget Explorers
19,Male,52,23,29,0,5,Seasoned Conservative Minimizers
20,Female,35,23,98,1,4,Young Budget Explorers
21,Male,35,24,35,0,5,Seasoned Conservative Minimizers
22,Male,25,24,73,0,4,Young Budget Explorers
23,Female,46,25,5,1,5,Seasoned Conservative Minimizers
24,Male,31,25,73,0,4,Young Budget Explorers
25,Female,54,28,14,1,5,Seasoned Conservative Minimizers
26,Male,29,28,82,0,4,Young Budget Explorers
27,Female,45,28,32,1,5,Seasoned Conservative Minimizers
28,Male,35,28,61,0,4,Young Budget Explorers
29,Female,40,29,31,1,5,Seasoned Conservative Minimizers
30,Female,23,29,87,1,4,Young Budget Explorers
31,Male,60,30,4,0,5,Seasoned Conservative Minimizers
32,Female,21,30,73,1,4,Young Budget Explorers
33,Male,53,33,4,0,5,Seasoned Conservative Minimizers
34,Male,18,33,92,0,4,Young Budget Explorers
35,Female,49,33,14,1,5,Seasoned Conservative Minimizers
36,Female,21,33,81,1,4,Young Budget Explorers
37,Female,42,34,17,1,5,Seasoned Conservative Minimizers
38,Female,30,34,73,1,4,Young Budget Explorers
39,Female,36,37,26,1,5,Seasoned Conservative Minimizers
40,Female,20,37,75,1,4,Young Budget Explorers
41,Female,65,38,35,1,0,Seasoned Mainstream Steadies
42,Male,24,38,92,0,4,Young Budget Explorers
43,Male,48,39,36,0,5,Seasoned Conservative Minimizers
44,Female,31,39,61,1,1,Young Mainstream Steadies
45,Female,49,39,28,1,5,Seasoned Conservative Minimizers
46,Female,24,39,65,1,4,Young Budget Explorers
47,Female,50,40,55,1,0,Seasoned Mainstream Steadies
48,Female,27,40,47,1,1,Young Mainstream Steadies
49,Female,29,40,42,1,1,Young Mainstream Steadies
50,Female,31,40,42,1,1,Young Mainstream Steadies
51,Female,49,42,52,1,0,Seasoned Mainstream Steadies
52,Male,33,42,60,0,1,Young Mainstream Steadies
53,Female,31,43,54,1,1,Young Mainstream Steadies
54,Male,59,43,60,0,0,Seasoned Mainstream Steadies
55,Female,50,43,45,1,0,Seasoned Mainstream Steadies
56,Male,47,43,41,0,0,Seasoned Mainstream Steadies
57,Female,51,44,50,1,0,Seasoned Mainstream Steadies
58,Male,69,44,46,0,0,Seasoned Mainstream Steadies
59,Female,27,46,51,1,1,Young Mainstream Steadies
60,Male,53,46,46,0,0,Seasoned Mainstream Steadies
61,Male,70,46,56,0,0,Seasoned Mainstream Steadies
62,Male,19,46,55,0,1,Young Mainstream Steadies
63,Female,67,47,52,1,0,Seasoned Mainstream Steadies
64,Female,54,47,59,1,0,Seasoned Mainstream Steadies
65,Male,63,48,51,0,0,Seasoned Mainstream Steadies
66,Male,18,48,59,0,1,Young Mainstream Steadies
67,Female,43,48,50,1,0,Seasoned Mainstream Steadies
68,Female,68,48,48,1,0,Seasoned Mainstream Steadies
69,Male,19,48,59,0,1,Young Mainstream Steadies
70,Female,32,48,47,1,1,Young Mainstream Steadies
71,Male,70,49,55,0,0,Seasoned Mainstream Steadies
72,Female,47,49,42,1,0,Seasoned Mainstream Steadies
73,Female,60,50,49,1,0,Seasoned Mainstream Steadies
74,Female,60,50,56,1,0,Seasoned Mainstream Steadies
75,Male,59,54,47,0,0,Seasoned Mainstream Steadies
76,Male,26,54,54,0,1,Young Mainstream Steadies
77,Female,45,54,53,1,0,Seasoned Mainstream Steadies
78,Male,40,54,48,0,1,Young Mainstream Steadies
79,Female,23,54,52,1,1,Young Mainstream Steadies
80,Female,49,54,42,1,0,Seasoned Mainstream Steadies
81,Male,57,54,51,0,0,Seasoned Mainstream Steadies
82,Male,38,54,55,0,1,Young Mainstream Steadies
83,Male,67,54,41,0,0,Seasoned Mainstream Steadies
84,Female,46,54,44,1,0,Seasoned Mainstream Steadies
85,Female,21,54,57,1,1,Young Mainstream Steadies
86,Male,48,54,46,0,0,Seasoned Mainstream Steadies
87,Female,55,57,58,1,0,Seasoned Mainstream Steadies
88,Female,22,57,55,1,1,Young Mainstream Steadies
89,Female,34,58,60,1,1,Young Mainstream Steadies
